galaxy,Hbeta,Hbeta note,[OIII]5007,[OIII]5007 note,[OI]6300,[OI]6300 note,[NII]6583,[NII]6583 note,log Halpha flux,log Halpha flux note,log Halpha lum,log Halpha lum note,Halpha width,Halpha width note,[NII]6583 FWHM,[NII]6583 FWHM note
NGC 3319,0.32,c ,0.32,b,0.13,u,0.16, ,-15.17,  ,37.03,  ,1.79, ,101,
NGC 3338,0.33,s ,0.3, ,0.093,u,0.49, ,-14.64,  ,38.15,  ,1.47, ,172,u
NGC 3344,0.27,  ,0.23, ,0.047,u,0.42, ,-12.77,  ,38.88,  ,34.16, ,128,
NGC 3346,0.17,  ,0.04, ,0.018, ,0.32, ,-14.14,  ,38.63,  ,28.68, ,124,u
NGC 3351,0.23,  ,0.06, ,0.019, ,0.46, ,-13.25,  ,38.64,  ,12.52, ,183,
NGC 3359,0.27,b ,0.15, ,0.04, ,0.31, ,-14.46,  ,38.18,  ,6.09, ,84,
NGC 3367,0.23,  ,0.11, ,0.031, ,0.83, ,-12.38,  ,40.98,  ,130.46, ,293,
NGC 3368,0.13,b ,0.24,b,0.18, ,1.11, ,-13.64,L ,38.25,L ,2.65, ,231,
NGC 3370,0.24,  ,0.06, ,0.02,u,0.33, ,-14.07,  ,38.75,  ,6.2, ,142,u
NGC 3379,0.33,sc,0.61,b,0.32,u,1.66,c,-13.95,c ,37.94,c ,0.47,c,   ,
NGC 3389,0.27,  ,0.03,b,0.014,b,0.34, ,-14.18,  ,38.6,  ,18.83, ,125,u
NGC 3395,0.3,  ,0.23, ,0.035, ,0.31, ,-13.56,L ,39.4,L ,28.52, ,80,
NGC 3414,0.31,  ,0.67, ,0.24,b,1.47, ,-13.64,L ,39.23,L ,2.44, ,545,
NGC 3423,0.29,  ,0.21, ,0.042, ,0.47, ,-14.47,  ,37.68,  ,4.88, ,82,
NGC 3430,0.22,  ,0.05, ,0.02, ,0.35, ,-13.89,  ,39.04,  ,17.45, ,157,
NGC 3432,0.3,  ,0.51, ,0.012, ,0.14, ,-13.57,  ,38.29,  ,111.71, ,73,
NGC 3433,0.59,b ,0.16,c,0.87,u,0.67, ,-15.16,  ,38.11,  ,1.01, ,158,
NGC 3448,0.29,  ,0.63, ,0.01, ,0.12, ,-13.18,  ,39.67,  ,274.17, ,100,
NGC 3486,0.3,  ,1.37, ,0.092, ,1.05, ,-14.02,  ,37.79,  ,2.77, ,149,
NGC 3489,0.46,  ,1.35, ,0.11,b,1.33, ,-13.49,  ,38.2,  ,1.39, ,215,
NGC 3495,0.16,b ,0.06,u,0.05,b,0.42, ,-14.75,  ,37.55,  ,6.39, ,114,u
NGC 3504,0.23,  ,0.12, ,0.023, ,0.59, ,-12.12,  ,40.81,  ,61.16, ,205,
NGC 3507,0.26,  ,0.26, ,0.18, ,1.1, ,-13.28,  ,39.39,  ,13.61, ,232,
NGC 3516,0.42,  ,3.91, ,0.15, ,1.31, ,-13.05,L ,40.21,L ,3.28, ,308,
NGC 3521,0.27,c ,0.27,u,0.23,u,0.64,b,-13.61,b ,38.18,b ,1.29,b,445,b
NGC 3556,0.14,  ,0.04, ,0.012, ,0.32, ,-13.36,  ,39.02,  ,36.96, ,86,
NGC 3583,0.12,  ,0.08, ,0.047,b,0.71, ,-13.78,  ,39.36,  ,7.49, ,199,
NGC 3593,0.17,  ,0.24, ,0.042, ,0.55, ,-13.41,  ,38.15,  ,13.13, ,134,
NGC 3596,0.27,  ,0.07, ,0.018,b,0.42, ,-13.61,  ,39.19,  ,12.61, ,167,u
NGC 3600,0.27,  ,0.54, ,0.027, ,0.14, ,-13.64,  ,38.48,  ,31.11, ,88,
NGC 3607,0.18,  ,0.41, ,0.19, ,2.13, ,-13.75,  ,38.93,  ,2.03, ,404,
NGC 3608,0.33,s ,0.97,b,0.19,u,1.3,b,-14.54,b ,38.28,b ,0.32,b,391,b
NGC 3623,0.35,c ,0.81,b,0.3,u,3.23, ,-14.03,  ,37.77,  ,0.83, ,366,
NGC 3626,0.21,b ,0.24,b,0.34, ,1.68, ,-13.5,  ,39.42,  ,2.83, ,413,
NGC 3627,0.17,  ,0.49, ,0.13, ,1.44, ,-13.22,  ,38.5,  ,4.25, ,220,
